Title,Link,Snippet
Home births may be allowed in QC on certain conditions,https://newsinfo.inquirer.net/618519/home-births-may-be-allowed-in-qc-on-certain-conditions,"... birth at home in Quezon City, but there's a long list of requirements. The author of a city ordinance banning home birth has sought to amend ..."
US Supreme Court favors Catholic college in contraception ...,https://newsinfo.inquirer.net/677906/us-supreme-court-favors-catholic-college-in-contraception-case,... contraception for employees on religious grounds ... birth control. FEATURED STORIES. NEWSINFO. Garma: Duterte rewarded cops ...
"Citing religious freedom, Trump backing off Obama-era rules",https://newsinfo.inquirer.net/936312/donald-trump-religious-liberty-directive-jeff-sessions,... law that required most companies to cover birth control at no additional cost. Employers with religious or moral qualms will also be able to ...
Catholic Church: Shun pro-choice candidates,https://newsinfo.inquirer.net/390351/catholic-church-shun-pro-choice-candidates,The law requires state health centres to hand out free condoms and birth control pills and mandates that sex education be taught in schools.
Woman inserts spring in vagina as birth control,https://newsinfo.inquirer.net/1165561/woman-inserts-spring-in-vagina-as-birth-control-still-gets-pregnant,"A woman in China, who is also a mother of three, inserted a metal spring inside her vagina believing it would act as a birth control device."
School principals get 'hands on' experience with condoms,https://newsinfo.inquirer.net/319643/school-principals-get-hands-on-experience-with-condoms,... condoms—some for the very first time—and interacting with people ... Control Policy in the Workplace Program. Article continues after ...
FDA warns against acne treatment and contraceptive drug ...,https://newsinfo.inquirer.net/706929/fda-warns-against-acne-treatment-and-contraceptive-drug-sold-online,"It is used for acne treatment, pregnancy prevention and birth control. The component, cyproterone acetate (CPA) is used for treatment of ..."
NEWSBRIEFS | Inquirer News,https://newsinfo.inquirer.net/18324/newsbriefs-20,"The Catholic Church is opposed to artificial means of family planning, including the use of condoms, which could lead to promiscuity. But ..."
Greenland indigenous women sue Denmark over ...,https://newsinfo.inquirer.net/1914151/greenland-indigenous-women-sue-denmark-over-involuntary-contraception,A group of Indigenous women in Greenland has sued Denmark for forcing them to be fitted with intrauterine contraceptive devices in the 1960s ...
"For T'boli mothers, 'paltera' now belongs to the past",https://newsinfo.inquirer.net/1680351/for-tboli-mothers-palteranow-belongs-to-the-past,... birth control method. (Photo by BONG S. SARMIENTO / Inquirer Mindanao) ... We are practicing birth control so that our eldest child can go to ...
France to give free access to contraception for women ...,https://newsinfo.inquirer.net/1485868/france-to-give-free-access-to-contraception-for-women-aged-up-to-25,"France will make access to birth control free for women aged up to 25 years old from January 1 onwards, in a new measure that will cost the ..."
"Amid accusations of genocide from the West, China ...",https://newsinfo.inquirer.net/1442571/amid-accusations-of-genocide-from-the-west-china-policies-could-cut-millions-of-uyghur-births-in-xinjiang-report,Chinese birth control policies could cut between 2.6 to 4.5 million births of the Uyghur and other ethnic minorities in southern Xinjiang ...
Obama sex education program drove lower teen birth rates ...,https://newsinfo.inquirer.net/1554902/obama-sex-education-program-drove-lower-teen-birth-rates-in-us-study,"These programs provided more information about sex, contraception, and reproductive health compared to abstinence-only education, which research ..."
IN THE KNOW: What's Implanon?,https://newsinfo.inquirer.net/927711/in-the-know-whats-implanon,... contraceptive is inserted under the skin of a woman's arm to control her fertility for three years. —JUNJIE MENDOZA/CEBU DAILY NEWS. Implanon ...
Tatad: RH law is genocide,https://newsinfo.inquirer.net/441563/tatad-rh-law-is-genocide,"MANILA, Philippines—Genocide is any act that prevents birth such as Republic Act (RA) No. ... “They must practice birth control or else suffer the ..."
New York appoints first-ever rat 'czar',https://newsinfo.inquirer.net/1755963/new-york-appoints-first-ever-rat-czar,"... birth control to vermin-proof trash cans. During a stomach-turning presentation in 2019, Adams, then Brooklyn borough president, unveiled a ..."
Widely used diabetes drug linked to birth defects risk—study,https://newsinfo.inquirer.net/1575000/widely-used-diabetes-drug-linked-to-birth-defects-risk-study,"... control of their diabetes, which could also be linked to a higher risk of birth defects. The study showed that the risk for babies born to ..."
Philippine Church 'right' despite Pope Francis comments,https://newsinfo.inquirer.net/494061/philippine-church-right-despite-pope-francis-comments,Philippine Church leaders have led a decade-long campaign against a birth control law that required the state to hand out free condoms and birth ...
US authorizes first condom for use in anal sex,https://newsinfo.inquirer.net/1559153/us-authorizes-first-condom-for-use-in-anal-sex,Although people already use condoms for anal sex — as is recommended by health agencies including the Centers for Disease Control and Prevention ...
Tina G. Santos Archives | Page 294 of 302 | Inquirer News,https://newsinfo.inquirer.net/byline/tina-g.-santos/page/294,"Smoke at your own risk; ban on smoking in public starts Friday. June 30, 2011 BY: Tina G. Santos. Metro. Muntinlupa mayor: Contraceptive ordinance dead. June 30 ..."
Legacy Stories | Inquirer News,https://newsinfo.inquirer.net/legacy-stories/page/15,... law victims want reparations board to quit · Inquirerseven deadliest storms since the 1970s · Muntinlupa mayor contraceptive ordinance dead ...
Cut in DOH budget affects access to reproductive health ...,https://newsinfo.inquirer.net/1245992/cut-in-doh-budget-affects-access-to-reproductive-health-services,A cut in the budget of the DOH intended for purchase of a new type of contraceptive could mean lesser access for women to reproductive ...
Solons ask DOH to have separate funding for RH in 2024 ...,https://newsinfo.inquirer.net/1827773/solons-ask-doh-to-have-separate-funding-for-rh-in-2024-budget,"Aside from modern contraception methods like pills, injectable and implant contraception, intrauterine devices, condoms and sterilization ..."
Tina G. Santos Archives | Page 294 of 302 | Inquirer News,https://newsinfo.inquirer.net/byline/tina-g-santos/page/294,"... Contraceptive ordinance dead. June 30, 2011 BY: Tina G. Santos. Featured Gallery. Webbs: Stop lies, lunacy. June 30, 2011 BY: Tina G. Santos. Previous Next. Don ..."
Cynthia Villar floats 'population control' for stray animals,https://newsinfo.inquirer.net/1940864/cynthia-villar-floats-population-control-for-stray-animals,"(You know, our problem, we have many poor people, and then their dogs and cats give birth to many. It's said that a cat is capable of ..."
Pacquiao slips RH advocates' jab on Jinkee's pill use,https://newsinfo.inquirer.net/6587/pacquiao-slips-rh-advocates-jab-on-jinkees-pill-use,"... birth control pills, the Saranggani lawmaker replied: “You know, in reality, even if the RH (reproductive health) bill has not yet been ..."
"After 102 children, Ugandan villager says enough is enough",https://newsinfo.inquirer.net/1724553/after-102-children-ugandan-villager-says-enough-is-enough,... birth control to stop the family expanding further. Article continues after this advertisement. “My wives are on contraceptives but I am not.
US watchdog to investigate whistleblower's detention ...,https://newsinfo.inquirer.net/1335920/us-watchdog-to-investigate-whistleblowers-detention-allegations,Wooten told Reuters on Monday that women who complained of heavy periods or asked for birth control would be sent to outside gynecologists ...
"Your body, your choice: Why is bodily autonomy so ...",https://newsinfo.inquirer.net/1434418/explainer-your-body-your-choice-why-is-bodily-autonomy-so-important,"... contraceptive services including the use of emergency contraception. The Philippines had a perfect record on sex education, according to ..."
DOH braces for more women giving birth in hospitals,https://newsinfo.inquirer.net/1751346/doh-braces-for-more-women-giving-birth-in-hospitals,Diego Danilo Jr. of the DOH disease prevention and control bureau said the trend of pregnant women accessing public maternal care services was ...
Trump to sign order on political limits for churches,https://newsinfo.inquirer.net/894285/trump-to-sign-order-on-political-limits-for-churches,"Those requirements include covering birth control and the move could apply to religious groups like the Little Sisters of the Poor, who have ..."
Over 320000 used condoms being sold as new seized by ...,https://newsinfo.inquirer.net/1340468/over-320000-used-condoms-being-sold-as-new-seized-by-police,"... condoms poses a health risk and can lead to infections, according to the Centers for Disease Control and Prevention. Ryan Arcadio /ra."
Associated Press Archives | Page 2701 of 3057,https://newsinfo.inquirer.net/source/associated-press/page/2701,"Dog birth control shots could limit populations. June 22, 2013. World. US Justice Dept: Complaint filed against Snowden. June 22, 2013. World. Calgary flooding ..."
Pacquiao team steps up delivery of typhoon aid that even ...,https://newsinfo.inquirer.net/1530928/pacquiao-team-steps-up-delivery-of-typhoon-aid-that-even-pets-get-relief,... Birth Control and had asked his office to deliver them to Siargao island. Article continues after this advertisement. Aside from pet food ...
Ricky Poca Archives | Page 29 of 29 | Inquirer News,https://newsinfo.inquirer.net/byline/ricky-poca/page/29,"Birth control not the answer. May 29, 2011 BY: Ricky Poca. CDN - Opinion. Right to demolish. May 24, 2011 BY: Ricky Poca. CDN - Opinion. Move squatters to SRP ..."
Case of P1-B cut on RH funds may reach SC,https://newsinfo.inquirer.net/755565/case-of-p1-b-cut-on-rh-funds-may-reach-sc,"... condoms, intrauterine devices, and birth control pills. FEATURED ... Condoms have been widely used as protection against the virus that ..."
DOH to start giving out condoms in schools next year,https://newsinfo.inquirer.net/849926/doh-to-start-giving-out-condoms-in-schools-next-year,"Starting next year, the Department of Health (DOH) plans to distribute condoms in schools as part of its “business unusual” strategy amid the sharp rise in the ..."
Marcos commends Enrile on 100th birth anniversary,https://newsinfo.inquirer.net/1904368/fwd-marcos-on-enrile,President Ferdinand “Bongbong” R. Marcos Jr. greeted the newly minted centenarian Juan Ponce Enrile on his birthday.
"Sorry, gays, Duterte is no longer for same-sex union",https://newsinfo.inquirer.net/882749/sorry-gays-duterte-is-no-longer-for-same-sex-union,"Aggressive birth control. It was at this point that he segued into birth control, calling the Church a “problem.” “The Philippines is ..."
It's safe to give birth in hospitals amid COVID-19 crisis ...,https://newsinfo.inquirer.net/1256671/doh-assures-pregnant-women-its-safe-to-give-birth-in-hospitals-amid-covid-19-crisis,The agency stressed that hospitals are following strict infection prevention and control measures against COVID-19. “Huwag tayong mangamba ...
"51 contraceptives, including Implanon, can't cause abortion",https://newsinfo.inquirer.net/944873/contraceptive-implanon-abortion-non-abortifacient-rh-law-reproductive-health-tro-fda,... contraceptive is inserted under the skin of a woman's arm to control her fertility for three years. —JUNJIE MENDOZA/CEBU DAILYNEWS. The 51 ...
Venezuela crisis pushes women into 'forced motherhood',https://newsinfo.inquirer.net/1155807/venezuela-crisis-pushes-women-into-forced-motherhood,The extent of Venezuela's birth control shortage and the impact on women is difficult to quantify in part because the government has not ...
Tagum: A poster city for RH bill,https://newsinfo.inquirer.net/14082/tagum-a-poster-city-for-rh-bill,"As national debate rages over the reproductive health (RH) bill, Tagum City has been sponsoring birth control methods for the past six ..."
"Numbers fall but PH teen pregnancies persist, mirror ...",https://newsinfo.inquirer.net/1723038/numbers-fall-but-ph-teen-pregnancies-persist-mirror-economic-learning-gaps,"... pregnancy rates among ASEAN member states, with over 500 teens becoming pregnant and giving birth every day. Article continues after this ..."
"Duterte against abortion, but all for birth control",https://newsinfo.inquirer.net/879790/duterte-against-abortion-but-all-for-birth-control-even-for-students,"It would be better to provide even students with birth control aids, such as condoms and pills, to prevent unwanted pregnancies, President Rodrigo Duterte said ..."
High court TRO on contraceptives slowly killing women ...,https://newsinfo.inquirer.net/895027/high-court-tro-on-contraceptives-slowly-killing-women-says-doh-exec,"A Supreme Court order effectively blocking the entry of most birth control products in the market is “slowly killing” Filipino women, ..."
Popcom: Allow minors access to contraceptives,https://newsinfo.inquirer.net/1194506/popcom-allow-minors-access-to-contraceptives,Congress should restore a provision of the reproductive health law that allowed certain minors to access contraceptives even without parental consent.
"There's enough for condoms, but...",https://newsinfo.inquirer.net/757366/theres-enough-for-condoms-but,The Department of Health (DOH) assured Filipino couples that it could cover their contraceptive needs for the entire year despite a budget ...
Supreme Court TRO stalling gov't family planning program ...,https://newsinfo.inquirer.net/789107/supreme-court-tro-stalling-govt-family-planning-program-doh,"She said some of the licenses for these family planning commodities, which include condoms, intrauterine devices (IUDs) and birth control pills, ..."
"P1B for condoms, pills nixed",https://newsinfo.inquirer.net/753535/p1b-for-condoms-pills-nixed,"... condoms, IUDs and birth control pills, particularly for breastfeeding mothers, at health centers. “Congress approved the budget but ..."
"Duterte's condom joke 'irresponsible,' says Human Rights ...",https://newsinfo.inquirer.net/969504/dutertes-condom-joke-irresponsible-says-human-rights-watch,... telling returning overseas Filipino workers to use birth control pills and not condoms as contraceptives because condoms “aren't pleasurable.”
Group joins call for lifting of ban on gov't-issued ...,https://newsinfo.inquirer.net/884859/group-joins-call-for-lifting-of-ban-on-govt-issued-contraceptives,A cause-oriented group has added its voice to those urging the Supreme Court to lift the temporary restraining order (TRO) that it said had ...
"RH bill about population control, not health–Enrile",https://newsinfo.inquirer.net/57279/rh-bill-about-population-control-not-health%E2%80%93enrile,"Or that of a birth control pill, an intrauterine device or an injectible (contraceptive),” Enrile said in an interview. Enrile also wondered ..."
World Contraception Day aims to debunk reproductive ...,https://newsinfo.inquirer.net/1672498/world-contraception-day-aims-to-debunk-reproductive-health-myths,"1.6 million women use injectables; 400,00 men use condoms. “Popcom sees more Filipinos relying on the benefits of modern contraception methods."
Priest says people now go to confession for using ...,https://newsinfo.inquirer.net/374699/priest-says-people-now-go-to-confession-for-using-contraceptives,"They may have lost the battle over the reproductive health law, but Catholic priests are glad that more and more young Catholics now know ..."
No condoms in schools–DepEd,https://newsinfo.inquirer.net/867064/no-condoms-in-schools-deped,The Department of Health (DOH) will no longer push through with its plan to distribute condoms in schools following the Department of Education's (DepEd) ...
Hontiveros slams Duterte for 'irresponsible' remarks on ...,https://newsinfo.inquirer.net/969115/hontiveros-slams-duterte-for-irresponsible-remarks-on-condoms,"Hontiveros chided Duterte for his statement, noting that disapproving condoms as a safe and reliable form of contraception “denies the ..."
Male contraceptive pill found 99% effective in mice,https://newsinfo.inquirer.net/1573031/male-contraceptive-pill-found-99-effective-in-mice,A team of scientists said Wednesday they had developed a male oral contraceptive that was 99 percent effective in mice and didn't cause ...
Choosing safe sex on Valentine's Day: Birth control myths ...,https://newsinfo.inquirer.net/1228563/choosing-safe-sex-on-valentines-day-birth-control-myths-busted,"Dr. Junice Melgar, executive director of Likhaan Center for Women's Health, is here to help and has lent her expertise in debunking and/or proving the various ..."
Married Filipino women more likely to use contraceptives ...,https://newsinfo.inquirer.net/1791619/married-filipino-women-more-likely-to-use-contraceptives-than-single-ones,"Married Filipino women are more likely to use contraceptives than unmarried women, according to a 2022 Popcom study."
RH law takes effect; too late for mother of 22,https://newsinfo.inquirer.net/342453/rh-law-takes-effect-too-late-for-mother-of-22,"The law requires government health centers to hand out free condoms and birth control pills, benefiting tens of millions of the country's poor ..."
P1B for free contraceptives of poor couples removed from ...,https://newsinfo.inquirer.net/753260/p1b-for-free-contraceptives-of-poor-couples-removed-from-2016-budget-doh,"... condoms, IUDs, birth control pills particularly for breastfeeding mothers, in health centers. “Congress approved the budget but ..."
"DOH, FDA urged to review contraceptives procured sans ...",https://newsinfo.inquirer.net/815772/doh-fda-urged-to-review-contraceptives-procured-sans-public-hearing,The court ordered the DOH and FDA to tweak its implementing rules and regulations in the purchase of birth control drugs to conform with ...
Cordillera couples stay away from contraception,https://newsinfo.inquirer.net/248057/cordillera-couples-stay-away-from-contraception,Cerezo said government's task is to encourage couples to assimilate modern birth control methods which have been validated scientifically.
Duterte ready to clash with Catholic Church on birth control,https://newsinfo.inquirer.net/792691/duterte-ready-to-clash-with-catholic-church-on-birth-control,The Philippine president-elect said Monday he would aggressively promote artificial birth control in the country even at the risk of getting ...
Duterte wants RH law fully implemented,https://newsinfo.inquirer.net/918566/duterte-wants-rh-law-fully-implemented,"“This TRO against the two specific artificial birth control implants adversely affected their distribution, resulting in limited availability of ..."
"Sex in the time of COVID-19: Taguig City gives pills, ...",https://newsinfo.inquirer.net/1248796/sex-in-the-time-of-covid-19-taguig-city-gives-pills-condoms-to-residents,"In Taguig City, condoms and birth control pills were being distributed to communities to ensure that family planning continues amid the Luzon-wide lockdown."
SC puts gov't-procured contraceptive implants on hold,https://newsinfo.inquirer.net/815108/sc-puts-govt-procured-contraceptive-implants-on-hold,"... birth control—that former Health Secretary Janet Garin had procured at P500 each, or one-tenth of the P5,000 market price with the help of ..."
Only 1 out of 10 sexually active Filipinos uses protection ...,https://newsinfo.inquirer.net/1170642/only-1-out-of-10-sexually-active-filipinos-uses-protection-survey,"Frequency of contraceptive use among men was at 36.52 percent among those doing so to protect themselves from STDs, and 30.65 percent among ..."
